name,rank,year,company_founded,company_name,company_relationship,company_sector,company_type,demographics_age,demographics_gender,location_citizenship,location_country_code,location_gdp,location_region,wealth_type,wealth_worth_in_billions,wealth_how_category,wealth_how_from_emerging,wealth_how_industry,wealth_how_inherited,wealth_how_was_founder,wealth_how_was_political
 S Robson Walton ,9,"2,001.00","1,962.00", Walmart , relation , retail ,  new ,57, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,18.6, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Christy Walton ,9,"2,014.00","1,962.00", Walmart , relation ,  retail ,  new ,59, female , United States , USA , -   , North America , inherited ,36.7, Non-Traded Sectors , True ," Retail, Restaurant ", spouse/widow , True , True 
 Hans and Gad Rausing ,10,"1,996.00","1,951.00", Tetra Pak , relation , food packaging , new , -   , male , Sweden , SWE ,"288,000,000,000.00", Europe , inherited ,9, Traded Sectors , True , Consumer , father , True , True 
 Alice Walton ,10,"2,001.00","1,962.00", Walmart , relation , retail ,  new ,52, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,18.5, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Helen Walton ,10,"2,001.00","1,962.00", Walmart , relation , retail ,  new ,81, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,18.5, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Jim Walton ,10,"2,014.00","1,962.00", Walmart , relation , retail ,  new ,66, male , United States , USA , -   , North America , inherited ,34.7, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Johanna Quandt ,11,"1,996.00","1,916.00", BMW , relation , cars , new ,68, female , Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,8.1, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Liliane Bettencourt ,11,"2,014.00","1,909.00", L'Oreal , relation , cosmetics , new ,91, female , France , FRA , -   , Europe , inherited ,34.5, Traded Sectors , True , Consumer , father , True , True 
 Haniel family ,12,"1,996.00","1,756.00", Franz Haniel & Cie ,,, new , -   , unknown , Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,8.1, Financial , True , Diversified financial , nonin , True , True 
 Johanna Quandt ,12,"2,001.00","1,916.00", BMW , relation , cars , new ,73, female , Germany , DEU ,"1,950,000,000,000.00", Europe , inherited ,17.8, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Stefan Persson ,12,"2,014.00","1,947.00",  H&M , relation ,  fashion ,  new ,66, male , Sweden , SWE , -   , Europe , inherited ,34.4, Traded Sectors , True , Consumer , father , True , True 
 Paul Allen ,13,"1,996.00","1,975.00", Microsoft , founder , technology , new ,43, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,7.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Steven Ballmer ,13,"2,001.00","1,975.00", Microsoft , CEO , technology , new ,44, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,16.6, New Sectors , True , Technology-Computer , nonin , True , True 
 Alice Walton ,13,"2,014.00","1,962.00", Walmart , relation , retail ,  new ,64, female , United States , USA , -   , North America , inherited ,34.3, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Kenneth Thomson ,14,"1,996.00","1,934.00", Thomson Corporation (now Thomson Reuters) , relation , media , acquired ,72, male , Canada , CAN ,"627,000,000,000.00", North America , inherited ,7.4, Non-Traded Sectors , True , Media , father , True , True 
 Kenneth Thomson ,14,"2,001.00","1,934.00", Thomson Corporation (now Thomson Reuters) , relation , media , acquired ,77, male , Canada , CAN ,"733,000,000,000.00", North America , inherited ,16.4, Non-Traded Sectors , True , Media , father , True , True 
 S. Robson Walton ,14,"2,014.00","1,962.00", Walmart , relation , retail ,  new ,70, male , United States , USA , -   , North America , inherited ,34.2, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 John Kluge ,15,"1,996.00","1,956.00", Metropolitan Broadcasting Corporation , chairman , media , new ,81, male , United States , USA ,"8,100,000,000,000.00", North America , executive ,7.2, Non-Traded Sectors , True , Media , nonin , True , True 
 Liliane Bettencourt ,15,"2,001.00","1,909.00", L'Oreal , relation , cosmetics , new ,78, female , France , FRA ,"1,380,000,000,000.00", Europe , inherited ,15.6, Traded Sectors , True , Consumer , father , True , True 
 Bernard Arnault ,15,"2,014.00","1,987.00", LVMH , founder , luxury goods , acquired ,64, male , France , FRA , -   , Europe , fnf ,33.5, Traded Sectors , True , Consumer , nonin , True , True 
 Tan Yu ,16,"1,996.00","1,972.00", Asiaworld Internationale Group , founder , real estate , new , -   , male , Philippines , PHL ,"82,848,194,406.00", East Asia , self-made finance ,7, Financial , True , Real Estate , nonin , True , True 
 Philip Anschutz ,16,"2,001.00","1,961.00", Circle A Drilling , investor ," oil, railroad, investments ", aquired ,61, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,15.3, Financial , True , Money Management , nonin , True , True 
 Michael Bloomberg ,16,"2,014.00","1,981.00", Bloomberg , founder ,  finance ,  new ,72, male , United States , USA , -   , North America , fnf ,33, Non-Traded Sectors , True , Media , nonin , True , True 
 Wonowidjojo family ,17,"1,996.00","1,958.00", Gudang Garam ,, cigarettes , new , -   , unknown , Indonesia , IDN ,"227,000,000,000.00", East Asia , inherited ,6.7, Traded Sectors , True , Consumer , nonin , True , True 
 Ingvar Kamprad ,17,"2,001.00","1,943.00", IKEA , founder , furniture , new ,74, male , Sweden , SWE ,"240,000,000,000.00", Europe , fnf ,13, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Larry Page ,17,"2,014.00","1,998.00", Google , founder ,  technology ,  new ,40, male , United States , USA , -   , North America , fnf ,32.3, New Sectors , True , Technology-Computer , nonin , True , True 
 Carlos Slim Helu ,18,"1,996.00","1,990.00", Telmex , founder ,  Communications , privatization ,56, male , Mexico , MEX ,"397,000,000,000.00", Latin America , privatized and resources ,6.1, Non-Traded Sectors , True , Media , nonin , True , True 
 Li Ka-shing ,18,"2,001.00","1,971.00", Cheung king , founder , real estate , new ,72, male , Hong Kong , HKG ,"169,000,000,000.00", East Asia , self-made finance ,12.6, Financial , True , Real Estate , nonin , True , True 
 Sumner Redstone ,18,"2,001.00","1,936.00", National Amusements , relation , media , new ,77, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,12.6, Non-Traded Sectors , True , Media , father , True , True 
 Jeff Bezos ,18,"2,014.00","1,995.00", Amazon , founder ,  technology ,  new ,50, male , United States , USA , -   , North America , fnf ,32, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Larry Ellison ,19,"1,996.00","1,977.00", Oracle , founder ,  software ,  new ,51, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,6, New Sectors , True , Technology-Computer , nonin , True , True 
 Sergey Brin ,19,"2,014.00","1,998.00", Google , founder ,  technology ,  new ,40, male , United States , USA , -   , North America , fnf ,31.8, New Sectors , True , Technology-Computer , nonin , True , True 
 Chung Ju-yung ,20,"1,996.00","1,946.00", Hyundai Group , founder , cars , new , -   , male , South Korea , KOR ,"603,000,000,000.00", East Asia , self-made finance ,5.9, Financial , True , Diversified financial , nonin , True , True 
 Leo Kirch ,20,"2,001.00","1,956.00", Kirch Group , founder , media , new , -   , male , Germany , DEU ,"1,950,000,000,000.00", Europe , fnf ,12, Non-Traded Sectors , True , Media , nonin , True , True 
 Li Ka-shing ,20,"2,014.00","1,950.00", Cheung Kong , founder , real estate , new ,85, male , Hong Kong , HKG , -   , East Asia , self-made finance ,31, Financial , True , Diversified financial , nonin , True , True 
 Gerard Mulliez ,21,"1,996.00","1,961.00", Auchan , founder , retail , new , -   , male , France , FRA ,"1,610,000,000,000.00", Europe , fnf ,5.7, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Anne Cox Chambers ,21,"2,001.00","1,898.00", Cox Enterprises , relation , media , aquired ,81, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,11.7, Non-Traded Sectors , True , Media , father , True , True 
 Barbara Cox Anthony ,21,"2,001.00","1,898.00", Cox Enterprises , relation , media , aquired ,77, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,11.7, Non-Traded Sectors , True , Media , father , True , True 
 Mark Zuckerberg ,21,"2,014.00","2,004.00",  Facebook , founder ,  technology ,  new ,29, male , United States , USA , -   , North America , fnf ,28.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Robert Kuok ,22,"1,996.00","1,980.00", Tana Exploration Company , relation , oil , new ,73, male , Malaysia , MYS ,"101,000,000,000.00", East Asia , self-made finance ,5.7, Financial , True , Money Management , nonin , True , True 
 Michele Ferrero ,22,"2,014.00","1,946.00", Ferrero spa , relation , chocolates , new ,88, male , Italy , ITA , -   , Europe , executive ,26.5, Traded Sectors , True , Consumer , nonin , True , True 
 Kwek Leng Beng ,23,"1,996.00","1,948.00", Hong Leong Group , relation , banking , new ,55, male , Singapore , SGP ,"96,400,967,339.00", East Asia , inherited ,5.7, Financial , True , Diversified financial , father , True , True 
 Walter Thomas and Raymond Kwok ,23,"2,001.00","1,963.00", Sun Hung Kai Properties , Relation , real estate , new , -   , male , Hong Kong , HKG ,"169,000,000,000.00", East Asia , inherited ,11.5, Financial , True , Real Estate , father , True , True 
 Aliko Dangote ,23,"2,014.00","1,981.00", Dangote Group , founder and CEO ," commodities (sugar, cement flour) ", new ,56, male , Nigeria , NGA , -   , Sub-Saharan Africa , fnf ,25, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Karl Albrecht ,23,"2,014.00","1,914.00", Aldi Sud , relation , groceries , new ,94, male , Germany , DEU , -   , Europe , executive ,25, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Cheng Yu-tung ,24,"1,996.00","1,929.00", Chow Tai Fook Enterprises , relation , real estate , new ,70, male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,5.5, Financial , True , Real Estate , father , True , True 
 John Kluge ,24,"2,001.00","1,956.00", Metropolitan Broadcasting Corporation , chairman , media , new ,86, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,10.9, Non-Traded Sectors , True , Media , nonin , True , True 
 Walter Haefner ,25,"1,996.00","1,957.00", Automation Center , founder , computer services , new ,85, male , Switzerland , CHE ,"330,000,000,000.00", Europe , fnf ,5.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Carlos Slim Helu ,25,"2,001.00","1,990.00", Telmex , founder ,  Communications , privatization ,61, male , Mexico , MEX ,"725,000,000,000.00", Latin America , privatized and resources ,10.8, Non-Traded Sectors , True , Media , nonin , True , True 
 Carl Icahn ,25,"2,014.00","1,968.00", Icahn Enterprises , founder , investment (via holding company) , new ,78, male , United States , USA , -   , North America , self-made finance ,24.5, Financial , True , Diversified financial , nonin , True , True 
 Philip Knight ,26,"1,996.00","1,964.00", Nike , founder , apparel , new ,58, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,5.3, Traded Sectors , True , Consumer , nonin , True , True 
 Bernard Arnault ,26,"2,001.00","1,981.00", LVMH , founder , luxury goods , acquired ,52, male , France , FRA ,"1,380,000,000,000.00", Europe , fnf ,10.7, Traded Sectors , True , Consumer , nonin , True , True 
 George Soros ,26,"2,014.00","1,969.00", Soros Fund Management , founder , hedge funds , new ,83, male , United States , USA , -   , North America , self-made finance ,23, Financial , True , Hedge funds , nonin , True , True 
 Michael Otto ,27,"1,996.00","1,950.00", Otto Group , relation , mail order retail , new ,52, male , Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,5.2, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Ernesto Bertarelli ,27,"2,001.00","1,906.00", Serono , relation , pharmaceuticals , new ,35, male , Switzerland , CHE ,"279,000,000,000.00", Europe , inherited ,10.5, New Sectors , True , Technology-Medical , 3rd generation , True , True 
 Michael Dell ,27,"2,001.00","1,984.00", Dell , founder , technology , new ,36, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,10.5, New Sectors , True , Technology-Computer , nonin , True , True 
 David Thomson ,27,"2,014.00","1,934.00", Thomson Corporation (now Thomson Reuters) , relation , media , acquired ,56, male , Canada , CAN , -   , North America , inherited ,22.6, Non-Traded Sectors , True , Media , father , True , True 
 Fong Teng ,28,"1,996.00","1,970.00", Sino Group , relation , real estate , new , -   , male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,5.2, Traded Sectors , True , Consumer , father , True , True 
 Lui Che Woo ,28,"2,014.00","1,955.00", K. Wah Group , founder/chairman ," construction, hotels, gaming ", new ,84, male , Hong Kong , HKG , -   , East Asia , self-made finance ,22, Financial , True , Real Estate , nonin , True , True 
 Robert and Ten Fong Ng ,29,"1,996.00","1,970.00", Sino Group , relation , real estate , new , -   , male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,5.2, Financial , True , Real Estate , father , True , True 
 Silvio Berlusconi ,29,"2,001.00","1,978.00", Fininvest , founder , media , new ,64, male , Italy , ITA ,"1,160,000,000,000.00", Europe , privatized and resources ,10.3, Non-Traded Sectors , True , Media , nonin , True , True 
 Dieter Schwarz ,29,"2,014.00","1,930.00", Schwarz Group , relation , groceries , new ,74, male , Germany , DEU , -   , Europe , inherited ,21.1, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Yasuo Takei ,30,"1,996.00", -   , Takefuji , founder , finance , new ,66, male , Japan , JPN ,"4,710,000,000,000.00", East Asia , self-made finance ,5.2, Financial , True , Money Management , nonin , True , True 
 Abigail Johnson ,30,"2,001.00","1,946.00", Fidelity Investments , relation , investment banking , new ,39, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,9.1, Financial , True , Money Management , 3rd generation , True , True 
 Prince Alwaleed Bin Talal Alsaud ,30,"2,014.00","1,980.00", Kingdom Holding Company , founder , construction/real estate/banking , new ,58, male , Saudi Arabia , SAU , -   , Middle East/North Africa , privatized and resources ,20.4, Financial , True , Diversified financial , nonin , True , True 
 Antonio Ermirio de Moraes ,31,"1,996.00","1,919.00", Votorantim Group , relation ," metals, paper, cement ", new , -   , male , Brazil , BRA ,"854,000,000,000.00", Latin America , inherited ,5.1, Traded Sectors , True , Non-consumer industrial , father , True , True 
 Forrest Mars Jr ,31,"2,001.00","1,911.00"," Mars, Incorperated ", relation , candy , new ,69, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,9, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Jacqueline Mars ,31,"2,001.00","1,911.00"," Mars, Incorperated ", relation , candy , new , -   , female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,9, Traded Sectors , True , Consumer , 3rd generation , True , True 
 John Mars ,31,"2,001.00","1,911.00"," Mars, Incorperated ", relation , candy , new ,64, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,9, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Kirsten Rausing ,31,"2,001.00","1,951.00", Tetra Pak , relation , food packaging , new , -   , female , Sweden , SWE ,"240,000,000,000.00", Europe , inherited ,9, Traded Sectors , True , Consumer , 3rd generation , True , True 
" Forrest Mars, Jr. ",31,"2,014.00","1,911.00"," Mars, Incorperated ", relation , candy , new ,82, male , United States , USA , -   , North America , inherited ,20, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Jacqueline Mars ,31,"2,014.00","1,911.00"," Mars, Incorperated ", relation , candy , new ,74, female , United States , USA , -   , North America , inherited ,20, Traded Sectors , True , Consumer , 3rd generation , True , True 
 John Mars ,31,"2,014.00","1,911.00"," Mars, Incorperated ", relation , candy , new ,77, male , United States , USA , -   , North America , inherited ,20, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Eka Tjipta Widjaja ,32,"1,996.00","1,962.00", Sinar Mas Group , founder , banking , new , -   , male , Indonesia , IDN ,"227,000,000,000.00", East Asia , self-made finance ,5.1, Financial , True , Diversified financial , nonin , True , True 
 Liliane Bettencourt ,33,"1,996.00","1,909.00", L'Oreal , relation , cosmetics , new ,73, female , France , FRA ,"1,610,000,000,000.00", Europe , inherited ,5, Traded Sectors , True , Consumer , father , True , True 
 Merck family ,34,"1,996.00","1,668.00", Merck ,, pharmaceuticals , aquired , -   ,, Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,5, New Sectors , True , Technology-Medical , nonin , True , True 
 Jorge Paulo Lemann ,34,"2,014.00","1,999.00", Ambev , founder , investment banking/beer , aquired ,74, male , Brazil , BRA , -   , Latin America , fnf ,19.7, Traded Sectors , True , Consumer , nonin , True , True 
 Silvio Berlusconi ,35,"1,996.00","1,978.00", Fininvest , founder , media , new ,59, male , Italy , ITA ,"1,310,000,000,000.00", Europe , privatized and resources ,5, Non-Traded Sectors , True , Media , nonin , True , True 
 Charles Ergen ,35,"2,001.00","1,980.00", dish networtk , founder , media , new ,48, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,8.8, Non-Traded Sectors , True , Media , nonin , True , True 
 Ted Turner ,35,"2,001.00","1,970.00", CNN , founder , media , aquired ,62, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,8.8, Non-Traded Sectors , True , Media , nonin , True , True 
 Lee Shau Kee ,35,"2,014.00","1,976.00", Henderson Land Development , founder/chairman , real estate , new ,86, male , Hong Kong , HKG , -   , East Asia , self-made finance ,19.6, Financial , True , Diversified financial , nonin , True , True 
 Mohamed Salim Bin Mahfouz ,36,"1,996.00","1,953.00", National Comercial bank of Saudi Arabia , relation , banking , new , -   , male , Saudi Arabia , SAU ,"158,000,000,000.00", Middle East/North Africa , inherited ,5, Financial , True , Money Management , father , True , True 
 Steve Ballmer ,36,"2,014.00","1,975.00", Microsoft , CEO , technology , new ,57, male , United States , USA , -   , North America , executive ,19.3, New Sectors , True , Technology-Computer , nonin , True , True 
" Theo Albrecht, Jr. ",36,"2,014.00","1,913.00", Aldi Nord , Relation , groceries , new ,63, male , Germany , DEU , -   , Europe , inherited ,19.3, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Lee Kun-Hee ,37,"1,996.00","1,938.00", Samsung , relation , electronics , new , -   , male , South Korea , KOR ,"603,000,000,000.00", East Asia , inherited ,4.9, New Sectors , True , Technology-Computer , father , True , True 
 Yasuo Takei ,37,"2,001.00", -   , Takefuji , founder , finance , new ,71, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , self-made finance ,8.3, Financial , True , Money Management , nonin , True , True 
 John Walton ,38,"1,996.00","1,962.00", Walmart , relation ,  retail ,  new ,50, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,4.8, Traded Sectors , True , Consumer , father , True , True 
 Suliman Olayan ,38,"2,001.00","1,947.00", General Contracting Company , founder , oil infrastructure , new , -   , male , Saudi Arabia , SAU ,"183,000,000,000.00", Middle East/North Africa , self-made finance ,8, Financial , True , Diversified financial , nonin , True , True 
 Leonardo Del Vecchio ,38,"2,014.00","1,961.00", ?Luxottica , founder , glasses , new ,78, male , Italy , ITA , -   , Europe , fnf ,19.2, Traded Sectors , True , Consumer , nonin , True , True 
 Jim Walton ,39,"1,996.00","1,962.00", Walmart , relation , retail ,  new ,48, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,4.8, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Rupert Murdoch ,39,"2,001.00","1,923.00", News Limited , relation , media , new ,70, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,7.8, Non-Traded Sectors , True , Media , father , True , True 
 Len Blavatnik ,39,"2,014.00","1,990.00", Renova Group , founder ," aluminum, oil ", new ,56, male , United States , USA , -   , North America , self-made finance ,18.7, Financial , True , Diversified financial , nonin , True , True 
 Helen Walton ,40,"1,996.00","1,962.00", Walmart , relation , retail ,  new ,76, female , United States , USA ,"8,100,000,000,000.00", North America , inherited ,4.7, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Hans Rausing ,40,"2,001.00","1,951.00", Tetra Pak , relation , food packaging , new ,74, male , Sweden , SWE ,"240,000,000,000.00", Europe , inherited ,7.7, Traded Sectors , True , Consumer , father , True , True 
 Nobutada Saji ,40,"2,001.00","1,899.00", Suntory , relation , brewery , new ,55, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , inherited ,7.7, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Alisher Usmanov ,40,"2,014.00","1,999.00", Metalloinvest , founder , metals , new ,60, male , Russia , RUS , -   , Europe , privatized and resources ,18.6, Resource Related , True , Non-consumer industrial , nonin , True , True 
 Mukesh Ambani ,40,"2,014.00","1,980.00", Reliance , relation , textiles , new ,56, male , India , IND , -   , South Asia , inherited ,18.6, Resource Related , True , Energy , nonin , True , True 
 Alice Walton ,41,"1,996.00","1,962.00", Walmart , relation , retail ,  new ,47, female , United States , USA ,"8,100,000,000,000.00", North America , inherited ,4.7, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 S Robson Walton ,42,"1,996.00","1,962.00", Walmart , relation , retail ,  new ,52, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,4.7, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Azim Premji ,42,"2,001.00","1,945.00", Wipro Limited , relation , software , new ,55, male , India , IND ,"494,000,000,000.00", South Asia , inherited ,6.9, New Sectors , True , Technology-Computer , father , True , True 
 Masayoshi Son ,42,"2,014.00","1,981.00", Softbank , founder/CEO , technology , new ,56, male , Japan , JPN , -   , East Asia , fnf ,18.4, New Sectors , True , Technology-Computer , nonin , True , True 
 Michael Otto ,42,"2,014.00","1,949.00", Otto Group , relation , mail order retail , new ,70, male , Germany , DEU , -   , Europe , inherited ,18.4, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Phil Knight ,42,"2,014.00","1,964.00", Nike , founder , apparel , new ,76, male , United States , USA , -   , North America , fnf ,18.4, Traded Sectors , True , Consumer , nonin , True , True 
 Henkel family ,43,"1,996.00","1,876.00", Henkel AG , unknown , chemicals , new , -   ,, Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,4.6, Traded Sectors , True , Non-consumer industrial , nonin , True , True 
 Amancio Ortega ,43,"2,001.00","1,975.00", Zara , founder , Fashion , new ,65, male , Spain , ESP ,"626,000,000,000.00", Europe , fnf ,6.6, Traded Sectors , True , Consumer , nonin , True , True 
